episode,sign_accuracy
0,0.9
1,0.1
2,0.0
3,0.5
4,0.0
5,0.9
6,0.9
7,1.0
8,0.6
9,0.0
10,0.1
11,0.1
12,0.0
13,0.2
14,0.0
15,1.0
16,1.0
17,0.0
18,0.0
19,0.3
20,0.3
21,0.1
22,0.0
23,0.1
24,1.0
25,0.1
26,0.8
27,0.0
28,0.1
29,0.0
30,1.0
31,0.9
32,1.0
33,0.4
34,0.0
35,0.0
36,0.0
37,0.1
38,1.0
39,0.9
40,0.4
41,0.9
42,1.0
43,0.9
44,0.7
45,0.1
46,1.0
47,0.9
48,0.9
49,0.1
50,1.0
51,1.0
52,0.0
53,0.9
54,0.1
55,1.0
56,0.8
57,0.1
58,0.9
59,0.1
60,0.9
61,0.0
62,0.4
63,0.0
64,1.0
65,0.1
66,0.2
67,1.0
68,0.1
69,0.3
70,0.1
71,0.1
72,0.1
73,0.0
74,0.1
75,0.2
76,0.0
77,0.3
78,0.7
79,1.0
80,0.0
81,0.0
82,0.1
83,0.1
84,0.9
85,0.1
86,0.0
87,0.1
88,0.4
89,0.7
90,0.4
91,0.0
92,0.9
93,1.0
94,0.8
95,0.0
96,0.9
97,0.0
98,0.1
99,1.0
100,0.0
101,0.7
102,0.3
103,0.4
104,0.9
105,0.1
106,0.2
107,1.0
108,0.8
109,0.0
110,0.1
111,0.9
112,0.0
113,0.0
114,0.0
115,0.2
116,0.1
117,0.1
118,0.0
119,0.0
120,0.5
121,1.0
122,0.9
123,0.0
124,0.9
125,0.7
126,0.1
127,0.1
128,0.1
129,0.9
130,1.0
131,0.4
132,0.1
133,0.9
134,1.0
135,0.3
136,0.1
137,1.0
138,0.0
139,1.0
140,0.9
141,0.1
142,0.1
143,0.9
144,0.1
145,0.0
146,0.1
147,0.1
148,0.9
149,1.0
150,1.0
151,0.0
152,0.8
153,0.1
154,0.0
155,0.6
156,1.0
157,1.0
158,0.1
159,0.1
160,0.1
161,0.1
162,0.9
163,0.6
164,0.8
165,1.0
166,0.9
167,0.3
168,0.1
169,0.0
170,0.9
171,0.7
172,0.6
173,0.1
174,0.1
175,0.9
176,0.1
177,0.1
178,1.0
179,0.0
180,0.9
181,0.1
182,1.0
183,0.1
184,0.1
185,1.0
186,0.1
187,1.0
188,1.0
189,0.2
190,0.9
191,1.0
192,0.4
193,0.9
194,0.0
195,1.0
196,0.0
197,0.1
198,0.0
199,0.1
200,0.1
201,0.1
202,0.0
203,0.0
204,0.0
205,0.1
206,0.4
207,0.0
208,0.7
209,1.0
210,0.8
211,0.9
212,0.4
213,0.0
214,0.5
215,0.1
216,0.1
217,0.1
218,0.1
219,0.1
220,0.4
221,1.0
222,0.9
223,0.4
224,0.0
225,0.4
226,0.1
227,0.9
228,1.0
229,0.0
230,0.1
231,0.7
232,1.0
233,1.0
234,0.8
235,0.0
236,0.1
237,0.5
238,0.2
239,0.1
240,0.0
241,0.0
242,0.1
243,0.4
244,0.9
245,0.7
246,0.1
247,0.2
248,0.0
249,1.0
250,0.6
251,0.1
252,0.1
253,0.1
254,0.1
255,0.9
256,0.9
257,0.3
258,0.1
259,0.0
260,0.4
261,0.9
262,0.3
263,0.2
264,0.7
265,0.1
266,1.0
267,0.1
268,1.0
269,0.9
270,0.8
271,0.1
272,1.0
273,0.1
274,0.4
275,0.6
276,0.4
277,0.0
278,1.0
279,1.0
280,0.4
281,0.0
282,0.0
283,1.0
284,0.0
285,0.0
286,0.6
287,0.4
288,0.4
289,1.0
290,0.3
291,0.1
292,0.9
293,0.4
294,0.0
